,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OWS,DWS,WS,OBPM,DBPM,BPM,VORP,Year,UID,Salary,Cap%
73,Tyson Chandler,C,30,NYK,66,66,32.8,3.9,6.1,0.0,0.0,3.9,6.1,2.7,3.9,4.1,6.6,10.7,0.9,0.6,1.1,1.3,2.8,10.4,6.7,2.6,9.3,1.5,-0.3,1.3,1.8,2013,chandty01,  13604188 ,0.2318408289166482
74,Wilson Chandler,PF,25,DEN,43,8,25.1,4.9,10.6,1.2,2.9,3.7,7.7,2.0,2.6,1.0,4.0,5.1,1.3,1.0,0.3,1.4,2.8,13.0,1.8,1.3,3.1,0.7,-0.1,0.5,0.7,2013,chandwi01,  5930414 ,0.10106535557865676
75,Josh Childress,SF,29,BRK,14,0,7.1,0.4,1.5,0.1,0.2,0.4,1.3,0.1,0.1,0.4,0.6,1.1,0.4,0.1,0.1,0.0,0.2,1.0,0.0,0.1,0.1,-2.7,-0.6,-3.3,0.0,2013,childjo01,  377474 ,0.006432863545731863
76,Josh Childress,SF,29,BRK,14,0,7.1,0.4,1.5,0.1,0.2,0.4,1.3,0.1,0.1,0.4,0.6,1.1,0.4,0.1,0.1,0.0,0.2,1.0,0.0,0.1,0.1,-2.7,-0.6,-3.3,0.0,2013,childjo01,  7000000 ,0.11929310315445049
77,Earl Clark,PF,25,LAL,59,36,23.1,2.9,6.5,0.6,1.8,2.3,4.8,0.9,1.3,1.4,4.1,5.5,1.1,0.6,0.7,1.1,1.7,7.3,0.7,1.5,2.3,-1.2,0.5,-0.7,0.4,2013,clarkea01,  1240000 ,0.021131921130216943
78,Victor Claver,SF,24,POR,49,16,16.6,1.5,3.9,0.5,1.8,1.0,2.1,0.3,0.6,0.6,1.8,2.4,0.9,0.5,0.2,0.9,1.5,3.8,-0.6,0.5,-0.1,-3.6,0.0,-3.7,-0.3,2013,clavevi01,  1300000 ,0.022154433442969374
79,Norris Cole,PG,24,MIA,80,4,19.9,2.2,5.3,0.4,1.2,1.8,4.1,0.7,1.0,0.2,1.4,1.6,2.1,0.7,0.1,1.3,1.9,5.6,-0.8,1.4,0.6,-4.3,-0.6,-4.9,-1.2,2013,coleno01,  1035960 ,0.017654697591983504
80,Jason Collins,C,34,TOT,38,9,10.1,0.2,0.8,0.0,0.0,0.2,0.8,0.6,0.8,0.6,1.0,1.6,0.2,0.3,0.3,0.5,2.2,1.1,-0.1,0.5,0.4,-7.9,1.2,-6.7,-0.4,2013,collija04,  1352181 ,0.023043695359498288
81,Darren Collison,PG,25,DAL,81,47,29.3,4.2,8.9,0.6,1.7,3.6,7.3,3.0,3.4,0.4,2.3,2.7,5.1,1.2,0.1,2.1,1.7,12.0,4.0,1.7,5.6,0.4,-0.3,0.1,1.3,2013,collida01,  2319344 ,0.03952596329180797
82,Nick Collison,C,32,OKC,81,2,19.5,2.2,3.7,0.0,0.0,2.2,3.6,0.7,1.0,1.5,2.6,4.1,1.5,0.6,0.4,0.9,2.4,5.1,3.2,2.1,5.2,-0.2,1.1,0.9,1.2,2013,collini01,  2929332 ,0.049921300635661824
